nback_0a,nback_0a-response,nback_1a,nback_1a-response,nback_0b,nback_0b-response,nback_2a,nback_2a-response
R,0,J,0,V,0,A,0
P,0,H,0,I,0,E,0
W,1,K,0,W,1,D,0
D,0,H,0,L,0,E,1
W,1,V,0,P,0,D,1
X,0,V,1,Z,0,Y,0
I,0,T,0,W,1,R,0
U,0,K,0,U,0,R,0
Q,0,T,0,Q,0,M,0
W,1,X,0,W,1,U,0
P,0,X,1,M,0,Z,0
T,0,R,0,Q,0,C,0
T,0,D,0,W,1,Z,1
Z,0,T,0,E,0,R,0
X,0,T,1,C,0,E,0
W,1,Z,0,C,0,R,1
Z,0,R,0,W,1,N,0
F,0,R,1,H,0,K,0
W,1,A,0,R,0,Z,0
Z,0,O,0,J,0,K,1
R,0,O,1,W,1,Z,1
W,1,Z,0,V,0,Q,0
P,0,U,0,H,0,M,0
P,0,U,1,T,0,T,0
W,1,F,0,W,1,M,1
F,0,R,0,K,0,Y,0
E,0,R,1,Y,0,N,0
N,0,N,0,W,1,Y,1
W,1,J,0,X,0,E,0
E,0,N,0,X,0,E,0
T,0,A,0,U,0,F,0
P,0,A,1,O,0,T,0
